aus 
Rate of Natural Population Increase (XLSX, 330 KB)
auf https://population.un.org/wpp/Download/SpecialAggregates/EconomicTrading/
mittlerer Zuwachs: Geburtenrate - Sterberate pro 1000 Einwohner pro Jahr, gemittelt über 5 Jahre bei gegebenem Anfangsjahr:
AnfangsJahr low_income_countries   high_income_countries
1.950000000000000000e+03 1.839999999999999858e+01 1.190000000000000036e+01
1.955000000000000000e+03 2.180000000000000071e+01 1.200000000000000000e+01
1.960000000000000000e+03 2.319999999999999929e+01 1.119999999999999929e+01
1.965000000000000000e+03 2.530000000000000071e+01 9.300000000000000711e+00
1.970000000000000000e+03 2.669999999999999929e+01 8.000000000000000000e+00
1.975000000000000000e+03 2.739999999999999858e+01 6.799999999999999822e+00
1.980000000000000000e+03 2.850000000000000000e+01 6.299999999999999822e+00
1.985000000000000000e+03 2.889999999999999858e+01 5.599999999999999645e+00
1.990000000000000000e+03 2.789999999999999858e+01 5.099999999999999645e+00
1.995000000000000000e+03 2.780000000000000071e+01 4.099999999999999645e+00
2.000000000000000000e+03 2.780000000000000071e+01 3.700000000000000178e+00
2.005000000000000000e+03 2.810000000000000142e+01 3.799999999999999822e+00
2.010000000000000000e+03 2.780000000000000071e+01 3.000000000000000000e+00
2.015000000000000000e+03 2.680000000000000071e+01 2.100000000000000089e+00
2.020000000000000000e+03 2.539999999999999858e+01 1.300000000000000044e+00
2.025000000000000000e+03 2.380000000000000071e+01 5.999999999999999778e-01
2.030000000000000000e+03 2.230000000000000071e+01 0.000000000000000000e+00
2.035000000000000000e+03 2.080000000000000071e+01 -5.999999999999999778e-01
2.040000000000000000e+03 1.930000000000000071e+01 -1.199999999999999956e+00
2.045000000000000000e+03 1.780000000000000071e+01 -1.699999999999999956e+00
2.050000000000000000e+03 1.639999999999999858e+01 -2.100000000000000089e+00
2.055000000000000000e+03 1.500000000000000000e+01 -2.299999999999999822e+00
2.060000000000000000e+03 1.359999999999999964e+01 -2.500000000000000000e+00
2.065000000000000000e+03 1.230000000000000071e+01 -2.399999999999999911e+00
2.070000000000000000e+03 1.100000000000000000e+01 -2.399999999999999911e+00
2.075000000000000000e+03 9.800000000000000711e+00 -2.299999999999999822e+00
2.080000000000000000e+03 8.699999999999999289e+00 -2.200000000000000178e+00
2.085000000000000000e+03 7.599999999999999645e+00 -2.100000000000000089e+00
2.090000000000000000e+03 6.599999999999999645e+00 -1.899999999999999911e+00
2.095000000000000000e+03 5.700000000000000178e+00 -1.800000000000000044e+00
