"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
0.000000000E0	9.519789368E-3	-1.086741686E-4	3.910350800E-2	4.024577664E-2
5.035401000E-3	2.567531541E-2	-2.410784364E-3	-1.468372345E-2	2.967567079E-2
1.007080100E-2	-2.227018028E-2	3.462615609E-2	7.712364197E-3	4.188570373E-2
1.513671900E-2	2.498243004E-3	1.038685441E-3	8.869647980E-2	8.873773501E-2
2.023315500E-2	-1.037381589E-4	-8.434653282E-3	5.562019348E-2	5.625620020E-2
2.529907300E-2	4.523161799E-3	3.180842102E-2	5.155563354E-2	6.074716446E-2
3.036499000E-2	-1.412386447E-2	1.775874197E-2	4.639816284E-2	5.164925923E-2
3.543090800E-2	2.471171319E-4	-2.863258123E-4	1.715278625E-2	1.715695561E-2
4.049682600E-2	1.237824559E-2	8.464917541E-3	9.134292603E-3	1.755878966E-2
4.559326200E-2	1.466959715E-3	2.759605646E-2	-3.726005554E-3	2.788507523E-2
5.065918000E-2	-8.774101734E-4	2.168834209E-3	-2.569389343E-2	2.580019089E-2
5.572509800E-2	2.706100047E-2	1.538194716E-2	-2.732944489E-2	4.142222353E-2
6.079101600E-2	1.076441258E-2	1.665729284E-2	-2.112960815E-2	2.897927404E-2
6.585693400E-2	-2.227559686E-3	2.238109708E-3	3.194427490E-2	3.209996661E-2
7.092285200E-2	-8.857492357E-3	-8.118763566E-3	2.224254608E-2	2.528043411E-2
7.598877000E-2	2.844087780E-3	2.173945308E-2	1.540374756E-2	2.679492665E-2
8.105468800E-2	1.593146473E-3	2.069251239E-2	2.941989899E-2	3.600345318E-2
8.612060600E-2	9.530834854E-3	1.459926367E-3	3.030014038E-2	3.179727512E-2
9.118652400E-2	2.165419608E-2	-9.027272463E-4	-2.364253998E-2	3.207317916E-2
9.628295900E-2	-2.291020378E-2	-1.346871257E-2	-8.535385132E-4	2.658970071E-2
1.013488770E-1	-2.661206573E-2	7.780984044E-3	2.442264557E-2	3.694876685E-2
1.064147950E-1	-1.373603940E-3	-4.138439894E-3	-9.897232056E-3	1.081520573E-2
1.114807130E-1	1.026557386E-2	6.688684225E-4	3.998756409E-2	4.128964366E-2
1.165466310E-1	1.903425902E-3	6.394773722E-3	3.389263153E-2	3.454311267E-2
1.216125490E-1	-3.848541528E-3	3.746643662E-3	3.268051147E-2	3.311894384E-2
1.267089850E-1	6.822906435E-3	1.176157594E-2	4.889583588E-2	5.075125109E-2
1.318054200E-1	3.265708685E-3	-9.517803788E-3	-3.026199341E-2	3.189109103E-2
1.368713380E-1	7.867626846E-3	-1.285579801E-2	-4.968643188E-3	1.587005071E-2
1.419372560E-1	-1.204773411E-2	2.106446028E-2	1.258182526E-2	2.733425892E-2
1.470031740E-1	1.029835269E-2	8.715227246E-3	-1.218700409E-2	1.818060293E-2
1.520690920E-1	4.224851727E-3	7.228925824E-3	2.121925354E-3	8.637667966E-3
1.571350100E-1	-3.211329132E-2	-2.563905716E-2	-1.073455811E-2	4.247181971E-2
1.622009280E-1	-2.244170755E-3	-3.202536702E-2	-6.953239441E-3	3.284825679E-2
1.672668460E-1	-5.789056420E-3	-2.106159925E-3	-3.263473511E-3	6.971322918E-3
1.723327640E-1	-2.775384113E-2	-2.770365775E-2	2.711677551E-2	4.767691123E-2
1.773986820E-1	1.494277641E-2	-1.989831030E-2	1.476764679E-2	2.893635622E-2
1.824646000E-1	2.164751291E-2	2.488818765E-2	5.054473877E-3	3.337041213E-2
1.875610350E-1	2.821766213E-2	4.464223981E-3	2.574920654E-4	2.856977518E-2
1.926269530E-1	3.708698601E-2	-3.059837222E-2	2.593040466E-3	4.815006513E-2
1.976928710E-1	4.795074463E-3	1.692336798E-2	-5.647659302E-3	1.847401360E-2
2.027587890E-1	-2.448389307E-2	1.179578900E-2	-8.382797241E-4	2.719015209E-2
2.078247070E-1	-1.005252451E-2	-5.010157824E-3	2.492713928E-2	2.734076084E-2
2.128906250E-1	1.223899424E-2	1.606425643E-2	-2.183914185E-4	2.019655935E-2
2.179870610E-1	6.108425558E-3	3.568655252E-2	-2.246475220E-2	4.260877826E-2
2.230529790E-1	-3.266441450E-2	-1.898822188E-2	1.785087585E-2	4.178720275E-2
2.281188970E-1	8.268952370E-4	9.751319885E-5	1.748466492E-2	1.750447862E-2
2.332153320E-1	4.257719964E-3	3.410556912E-2	-9.841918945E-3	3.575166280E-2
2.382812500E-1	-2.938095480E-3	2.056847513E-2	1.617240906E-2	2.632947756E-2
2.433471680E-1	-1.116513833E-2	-8.067235351E-3	3.347396851E-2	3.619733647E-2
2.484130860E-1	1.370280236E-2	-6.844401360E-3	1.756954193E-2	2.330882722E-2
2.535095220E-1	1.573346928E-2	5.014225841E-3	6.669998169E-3	1.780936248E-2
2.585449220E-1	2.017168701E-2	2.367931604E-2	-2.860069275E-3	3.123758892E-2
2.636108400E-1	1.632855460E-2	-1.089872420E-2	2.776241302E-2	3.400228612E-2
