"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Height WGS84 (m)"	"Speed (m/s)"	"Direction (°)"	"Distance (km)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"	"Satellites"
0.000000000E0	4.947662674E1	8.488213307E0	0.000000000E0	0.000000000E0	0.000000000E0	0.000000000E0	3.429847252E-2	5.235245514E1	0.000000000E0	0.000000000E0
2.397244791E0	4.947687401E1	8.487929520E0	1.001492014E2	1.490000000E2	0.000000000E0	0.000000000E0	3.796256154E-2	1.929600143E1	3.200000000E1	0.000000000E0
3.400584686E0	4.947685719E1	8.487885910E0	1.071491775E2	1.560000000E2	0.000000000E0	0.000000000E0	4.198821236E-2	1.286400032E1	1.600000000E1	1.300000000E1
4.400750519E0	4.947689339E1	8.487886690E0	1.071492151E2	1.560000000E2	0.000000000E0	0.000000000E0	4.415873134E-2	9.648000717E0	1.200000000E1	1.500000000E1
5.405153644E0	4.947691114E1	8.487899190E0	1.071492354E2	1.560000000E2	0.000000000E0	0.000000000E0	4.726862444E-2	7.504000187E0	1.200000000E1	1.500000000E1
6.404097810E0	4.947693894E1	8.487894480E0	1.071492635E2	1.560000000E2	0.000000000E0	0.000000000E0	4.968973997E-2	6.432000160E0	8.000000000E0	1.600000000E1
7.401501247E0	4.947692100E1	8.487875490E0	1.081492421E2	1.570000000E2	0.000000000E0	0.000000000E0	5.277304646E-2	5.360000134E0	8.000000000E0	1.600000000E1
8.405224632E0	4.947689707E1	8.487853930E0	1.091492141E2	1.580000000E2	0.000000000E0	0.000000000E0	5.323224279E-2	5.360000134E0	6.000000000E0	1.600000000E1
9.407041767E0	4.947690022E1	8.487849820E0	1.091492167E2	1.580000000E2	0.000000000E0	0.000000000E0	5.549361171E-2	5.360000134E0	6.000000000E0	1.600000000E1
1.040970541E1	4.947692013E1	8.487856200E0	1.091492383E2	1.580000000E2	0.000000000E0	0.000000000E0	5.582581010E-2	4.288000107E0	6.000000000E0	1.600000000E1
1.140898541E1	4.947692289E1	8.487857960E0	1.081492415E2	1.570000000E2	0.000000000E0	0.000000000E0	5.593515133E-2	4.288000107E0	6.000000000E0	1.600000000E1
1.240749869E1	4.947692369E1	8.487858840E0	1.071492424E2	1.560000000E2	0.000000000E0	0.000000000E0	6.177488499E-2	4.288000107E0	6.000000000E0	1.700000000E1
1.341043109E1	4.947697410E1	8.487836170E0	1.091492913E2	1.580000000E2	2.960000038E0	3.392999878E2	6.800071111E-2	4.288000107E0	6.000000000E0	1.800000000E1
1.441817723E1	4.947703009E1	8.487835940E0	1.091493494E2	1.580000000E2	4.059999943E0	3.356000061E2	7.166969928E-2	4.288000107E0	6.000000000E0	1.800000000E1
1.541637338E1	4.947706077E1	8.487817250E0	1.071493784E2	1.560000000E2	4.210000038E0	3.442000122E2	8.038649922E-2	4.288000107E0	6.000000000E0	1.800000000E1
1.640032249E1	4.947713910E1	8.487812450E0	1.081494590E2	1.570000000E2	5.039999962E0	3.426000061E2	9.005024049E-2	4.288000107E0	6.000000000E0	1.800000000E1
1.740780546E1	4.947722418E1	8.487785160E0	1.071495432E2	1.560000000E2	6.599999905E0	3.418999939E2	9.670915443E-2	5.360000134E0	6.000000000E0	1.800000000E1
